cell_id	global_mCH	global_mCG	#non_clonal_reads	coverage	global_mCCC	#contact	clusters	subclusters
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD002	0.06407773849891234	0.7896301154414115	644323	8962640	0.017622375428441455	15169	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD004	0.045847564756069846	0.7772544191141155	2435589	32812349	0.021134442091398944	62445	L2/3	L2/3-4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD006	0.07637123492629605	0.7937865222920205	2160861	29703659	0.020653515899548915	49770	L5	L5-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD007	0.0570554063815119	0.8192137181231066	2469388	34079227	0.014947977974385542	49596	Sst	Sst-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD008	0.01018391045798561	0.7519206695686314	2403600	33474109	0.007907610553250295	34797	Endo	Endo-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD010	0.03534853804298646	0.751479867333219	2654984	36400428	0.011987280828783822	61673	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B10_AD012	0.02261815511098917	0.7737853305872515	2151443	28440739	0.00991386684787074	52378	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD001	0.021281609709100324	0.7716404671365611	1344524	19272884	0.010276656062544754	27533	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD002	0.0676134092262525	0.8254998935224961	1446624	20918570	0.0181608063595782	27089	Vip	Vip-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD004	0.07554843641644561	0.8242427861736394	1856781	26026466	0.022031133454212478	43197	Vip	Vip-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD006	0.06320046767103246	0.7857997847217639	1678318	24029464	0.01815603040435496	43357	L4	L4-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD007	0.05104788971627141	0.7691262655365665	1808440	25493571	0.014953683651656351	47153	L2/3	L2/3-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD008	0.05402587802055183	0.7755658125955011	1672366	23976407	0.015162023578549223	34181	L4	L4-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD010	0.05037184240724875	0.8096278238207814	1794632	25162074	0.014446693525963542	46791	Pvalb	Pvalb-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD012	0.008633448437079977	0.7294935985259035	1735820	26617869	0.008189737020168116	9017	MG	MG-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD001	0.018490573446446494	0.777849332080338	1680300	23707134	0.00867439109787745	36690	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD006	0.022113048152582717	0.7670157714641819	2051974	30188775	0.011956264196891619	35706	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD007	0.008543982275209031	0.7640440779841258	2273384	31433855	0.008054415786762179	56409	MG	MG-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD008	0.012410338685746236	0.757018631955893	2099764	29713715	0.0097374837117436	50874	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD010	0.01001956788416384	0.7645258333394249	2035685	28805043	0.007894965252092469	34065	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD012	0.021681018110243047	0.7664463159296788	1950755	26606816	0.009162354151264826	52187	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD001	0.04337862990645278	0.7718555588364066	2049969	28525118	0.012198223150098862	37936	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD002	0.05005166609510997	0.7723453393314383	1730656	24064513	0.012509341648058631	29027	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD004	0.008588163021633267	0.7519192262906956	2852046	38200033	0.0070133335564870605	68268	Endo	Endo-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD006	0.04244608716652832	0.765608764280184	2847657	38597314	0.011968670779933554	64302	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD007	0.0583569509121307	0.7816270335198073	2658517	36779275	0.014614935626423247	51309	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD008	0.1074979421714725	0.8286875110824966	2213383	30386430	0.02677122561904629	43277	Sst	Sst-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD010	0.010716136470888473	0.7561441169235348	2588910	34374016	0.007050710757132776	58856	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD012	0.06686082209151038	0.7900716547777085	2308645	31189192	0.01759482899791309	53165	L5	L5-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD001	0.03718336062924343	0.7626631207638466	1771810	24826625	0.01160174969275901	31234	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD002	0.011436153928167254	0.7562750385539885	806263	10986387	0.00877828466922167	19803	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD004	0.06460767224141215	0.8025654651911035	2334618	31815048	0.017137873296639402	53342	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD006	0.03480063758535505	0.7642302149731248	2465930	33624107	0.01159147047535321	59152	L2/3	L2/3-4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD008	0.043995180907352764	0.7639688928374079	1804940	24809075	0.013318442412662694	43748	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD010	0.050495311060172465	0.7948419921489507	2048692	27961978	0.013419439907700146	40843	L6	L6-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B2_AD012	0.038389176534882	0.8092272070821445	2083822	28716802	0.011775378196925342	37100	Ndnf	Ndnf-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD001	0.03274035902613438	0.8044154791873445	2252700	30432401	0.011112784125053671	51507	Ndnf	Ndnf-2
